number of bedrooms,number of bathrooms,lot area,number of floors,waterfront present,condition of the house,grade of the house,Built Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price,House_Age,Total_Area
3,1,7291,1.0,0,4,8,1948,122016,52.7574,-114.574,1860,5499,2,75,615000,77,2360
4,2,12261,2.0,0,3,9,1991,122017,52.9719,-114.395,2730,10872,2,70,612500,34,2730
3,2,33151,2.0,0,3,10,1995,122018,52.5556,-114.568,4050,24967,1,71,604000,30,3240
3,1,14892,1.0,0,3,8,1980,122019,52.8567,-114.236,2570,14217,1,60,588500,45,2330
4,2,6500,2.0,0,3,8,2012,122008,52.745,-114.06,2380,5000,2,80,555000,13,3310
4,2,10500,1.0,0,4,7,1976,122005,52.913,-114.304,2200,10500,1,58,550000,49,1940
3,1,35200,1.5,0,3,8,1979,122020,52.8047,-114.225,2590,37500,3,50,550000,46,2910
4,2,3345,2.0,0,3,8,2004,122021,53.0035,-114.348,2860,3596,3,73,499950,21,2860
4,1,6380,1.0,0,3,8,1959,122022,52.931,-114.496,1090,6380,3,50,495000,66,1600
4,1,125452,1.0,0,3,9,1968,122023,52.5003,-114.259,3000,125017,3,64,491500,57,2190
2,1,6380,1.0,0,3,7,1938,122006,52.9224,-114.512,1340,6380,3,66,490000,87,880
4,2,35868,2.0,0,3,9,1989,122024,52.605,-114.212,2780,36224,3,71,482000,36,2710
5,2,9655,1.0,0,3,8,1976,122017,52.9998,-114.412,2080,8633,3,79,470000,49,2210
3,1,7320,1.0,0,3,7,1948,122014,52.9812,-114.471,2260,8839,1,72,463000,77,1710
3,2,5539,2.0,0,3,8,2013,122025,52.7061,-113.924,2990,6037,2,74,459990,12,2680
3,2,88426,1.0,0,4,7,1985,122025,52.7128,-113.908,1560,56827,3,78,452500,40,2430
3,2,1180,3.0,0,3,8,2001,122026,52.8997,-114.582,1320,1180,3,61,445700,24,1270
4,2,8119,1.0,0,3,8,1966,122027,52.7743,-114.367,1850,9000,2,52,440000,59,2160
2,1,4850,1.0,0,4,7,1944,122026,52.8939,-114.554,1150,4365,2,60,440000,81,800
3,2,2875,2.0,0,3,8,1990,122009,52.7931,-114.587,1770,3833,3,68,439950,35,1770
3,2,35100,2.0,0,4,9,1977,122012,52.6935,-114.181,2340,35100,2,70,437500,48,1970
3,2,1235,3.0,0,3,8,2007,122028,52.9265,-114.532,1680,1203,3,52,436110,18,1770
4,1,8800,1.0,0,4,7,1954,122027,52.8046,-114.325,1260,8942,2,62,435000,71,1450
4,1,10000,1.0,0,4,7,1954,122027,52.8025,-114.323,1450,10836,2,64,430000,71,1920
3,2,8030,1.0,0,4,8,1963,122029,52.8488,-114.304,2070,8250,1,61,420000,62,2000
3,1,6700,1.0,0,4,7,1956,122030,52.8322,-114.324,1570,7300,3,78,419000,69,1570
3,2,10460,2.0,0,3,8,1996,122015,52.7238,-114.351,2290,8228,1,63,407500,29,1930
3,2,13100,1.0,0,5,8,1957,122031,52.6719,-114.53,1960,10518,3,72,403000,68,1960
4,2,42884,1.5,0,3,9,1979,122023,52.4917,-114.38,2830,80148,1,80,400000,46,3630
3,3,1327,2.0,0,3,8,2008,122032,52.8806,-114.573,1440,1263,2,51,385000,17,1320
4,1,8700,1.0,0,4,7,1967,122033,52.9574,-114.371,2080,8000,3,74,382500,58,1560
4,3,7231,2.0,0,3,8,1997,122023,52.5579,-114.381,2820,7311,3,66,367500,28,3110
3,1,6435,1.0,0,4,7,1955,122034,52.7634,-114.555,1340,6435,3,80,365000,70,1090
3,2,11947,1.0,0,4,8,1966,122035,52.5972,-114.341,2200,12825,2,66,342000,59,1930
2,2,2560,1.0,0,3,8,1976,122005,52.8644,-114.297,1790,2560,1,77,335000,49,1350
3,2,16215,1.0,0,4,7,1978,122036,52.7943,-114.087,1450,16215,3,56,335000,47,1580
3,1,9180,1.0,0,3,7,1968,122037,52.9727,-114.262,1160,10282,1,52,315000,57,1160
3,1,7912,1.5,0,3,7,1955,122038,52.9958,-114.529,1480,7940,3,65,313000,70,1340
2,1,6174,1.0,0,4,7,1950,122014,52.9652,-114.518,1100,6174,1,60,308500,75,850
3,2,5050,2.0,0,3,7,2006,122035,52.5658,-114.245,2280,5050,2,64,300000,19,2540
2,2,1368,2.0,0,3,7,2009,122034,52.7789,-114.553,1590,2306,1,74,295000,16,1630
3,3,19966,1.0,0,4,7,1992,122024,52.5793,-114.224,1410,6715,2,58,287200,33,1850
4,2,9397,2.0,0,3,8,1987,122039,52.5706,-114.459,2310,9176,3,80,285000,38,2200
3,2,10834,1.0,0,4,8,1987,122040,52.5837,-114.493,1750,8595,2,56,285000,38,2090
3,1,23103,1.0,0,3,7,1968,122041,52.8817,-114.096,1410,18163,3,62,284000,57,1800
3,1,10277,1.0,0,3,6,1983,122025,52.718,-113.977,1680,11104,3,78,275000,42,1180
4,2,8625,1.0,0,4,7,1974,122042,52.692,-114.383,2130,8502,1,60,260000,51,1480
3,1,5858,1.0,0,3,7,1987,122043,52.6115,-114.503,1400,7500,3,56,257950,38,1370
3,1,9720,1.0,0,4,7,1965,122035,52.6525,-114.343,1380,10284,3,77,242500,60,1200
2,1,9400,1.0,0,2,6,1949,122034,52.7642,-114.55,1580,6026,3,73,235000,76,1210
4,2,6605,2.0,0,3,8,2012,122015,52.7209,-114.334,3030,6605,1,62,625000,13,2920
2,1,5000,1.0,0,3,7,1944,122007,52.9183,-114.585,1280,5000,1,68,553000,81,900
3,2,14054,1.0,0,4,7,1986,122012,52.7121,-114.207,1940,87555,2,57,379880,39,1650
3,1,9945,1.0,0,4,6,1973,122008,52.7624,-113.953,1390,12710,3,60,310000,52,1010
3,2,7130,2.0,0,3,10,1980,122044,52.833,-114.479,2280,6459,1,52,783500,45,2850
2,2,7392,1.0,0,3,9,2004,122045,52.947,-114.216,2315,7045,2,65,775000,21,2680
4,2,6010,1.0,0,3,7,1900,122044,52.8334,-114.479,2240,6200,1,51,628000,125,2280
3,2,7350,1.0,0,5,8,1988,122046,52.6695,-114.351,2350,7557,2,53,365000,37,2200
4,2,9933,2.0,0,3,8,1990,122023,52.4954,-114.406,2140,9933,2,59,331950,35,2530
7,8,307752,3.0,0,3,12,1999,122045,52.8975,-114.176,4850,217800,1,55,2280000,26,13540
2,2,4000,2.0,0,3,9,2000,122047,52.8664,-114.47,1870,4000,3,67,1430000,25,2220
5,3,8510,2.0,0,5,9,1971,122004,52.8878,-114.476,2610,6128,1,50,1400000,54,4010
4,2,141570,2.5,0,3,11,1992,122045,52.9105,-114.238,2720,97138,1,73,1090000,33,4340
5,2,16920,1.0,0,3,9,1976,122027,52.7941,-114.35,3100,13100,1,53,1030000,49,3190
3,1,77972,1.0,0,3,7,1928,122010,52.9191,-114.349,1340,17689,3,52,900000,97,1330
4,4,5750,2.0,0,3,10,2006,122012,52.7704,-114.263,4420,5750,1,57,890000,19,4420
5,3,6000,2.0,0,3,10,2006,122012,52.7696,-114.263,4530,6000,2,70,890000,19,4490
4,3,9892,2.0,0,3,10,1998,122020,52.8237,-114.172,3430,11294,3,62,865000,27,3690
4,2,5390,1.0,0,4,8,1960,122032,52.8682,-114.587,2550,5600,2,69,855000,65,2600
4,3,4000,2.0,0,4,9,1982,122047,52.8496,-114.482,1670,4000,3,73,831000,43,2170
4,2,9692,2.0,0,3,9,2007,122005,52.938,-114.299,3070,7375,3,58,830000,18,3400
6,1,5000,2.5,0,4,9,1908,122044,52.8324,-114.485,2020,5000,3,68,823000,117,2920
5,2,13806,2.0,0,4,10,1990,122010,52.882,-114.372,3180,13798,1,76,800866,35,3180
3,2,7857,2.0,0,3,10,1994,122020,52.8157,-114.228,2970,7857,3,66,800000,31,3240
3,1,7500,1.0,0,3,8,1961,122048,52.8374,-114.385,1690,7800,3,56,787000,64,1330
4,2,10281,2.0,0,3,9,1996,122019,52.8527,-114.219,2750,7220,3,79,780000,29,2730
3,2,5700,1.5,0,4,8,1939,122047,52.869,-114.5,2170,6000,1,77,770000,86,2350
4,2,10202,1.0,0,4,7,1960,122049,52.8158,-114.36,1570,10762,2,73,755000,65,2120
4,1,3600,1.5,0,3,7,1902,122003,52.8637,-114.561,2010,3600,2,55,740000,123,2010
4,2,21904,2.0,0,3,9,2000,122015,52.745,-114.307,3715,29170,2,77,736500,25,3180
4,2,4247,2.0,0,3,8,2013,122005,52.9348,-114.303,2970,4685,1,75,712198,12,2450
3,2,4343,2.0,0,3,9,2003,122011,52.7793,-114.183,2130,4106,3,59,705380,22,2490
3,2,2000,3.0,0,3,9,1909,122004,52.8904,-114.48,1950,5000,3,69,670000,116,1680
4,2,5900,1.0,0,3,8,1963,122006,52.9109,-114.476,2580,5900,2,63,665000,62,2800
4,1,4240,1.0,0,3,7,1924,122028,52.8896,-114.528,1810,4240,1,68,657100,101,1390
3,1,9000,1.0,0,4,8,1949,122050,52.9541,-114.559,3010,9000,2,75,650000,76,2160
4,2,6651,2.0,0,3,9,2014,122007,52.9271,-114.561,1350,7653,2,77,631625,11,2440
4,2,7712,1.0,0,3,8,1973,122012,52.7988,-114.277,1720,7393,3,61,627000,52,1990
3,1,2185,2.5,0,3,9,2005,122033,52.9245,-114.36,1480,2441,2,52,620000,20,1480
3,2,5000,1.0,0,4,7,1942,122006,52.9038,-114.487,1800,5000,1,69,618500,83,1800
4,1,11700,1.0,0,4,9,1977,122005,52.8631,-114.284,2840,12000,3,50,615000,48,2300
3,1,39639,1.0,0,4,8,1976,122020,52.8229,-114.179,2330,30492,1,77,600000,49,1670
3,1,6360,1.0,0,4,7,1945,122006,52.9178,-114.476,1770,6175,2,57,600000,80,1880
2,1,8640,1.5,0,3,6,1949,122007,52.9226,-114.553,1060,4804,3,77,585000,76,1770
2,1,7000,1.0,0,5,8,1942,122051,52.7559,-114.451,2160,6000,3,77,580000,83,2540
3,2,6000,1.0,0,3,8,1975,122005,52.9212,-114.305,2080,8260,2,78,570000,50,2010
3,2,8744,2.0,0,3,8,1987,122019,52.85,-114.233,2030,8744,2,58,560000,38,1900
3,2,3211,2.0,0,3,8,2009,122012,52.7944,-114.283,1880,3078,3,60,555000,16,1940
2,1,5400,1.0,0,5,7,1908,122047,52.8505,-114.484,1520,4800,1,68,549000,117,1140
4,2,6338,2.0,0,3,8,2008,122015,52.7104,-114.316,2500,5877,3,54,549000,17,2910
5,2,8426,1.0,0,4,8,1960,122027,52.7863,-114.374,2020,8783,1,69,541125,65,2740
2,3,1175,2.0,0,3,8,2000,122028,52.8934,-114.53,1290,1800,1,71,531000,25,1270
5,1,71874,1.0,0,5,7,1960,122012,52.7145,-114.27,2170,51400,2,65,525888,65,2550
3,1,5520,1.0,0,4,6,1944,122032,52.8815,-114.589,1470,6000,3,70,524000,81,1560
3,2,2700,2.0,0,3,8,2010,122012,52.794,-114.283,1890,3078,1,79,509900,15,1790
4,1,7519,1.0,0,3,7,1963,122029,52.862,-114.309,1730,7519,2,56,501000,62,2070
4,2,6479,2.0,0,3,7,2006,122008,52.7702,-114.077,2320,5178,1,50,499000,19,2910
6,2,9200,1.0,0,4,8,1953,122052,52.722,-114.554,2220,9500,2,56,497300,72,3200
4,1,9211,1.0,0,3,7,1977,122033,52.9506,-114.361,1840,8500,3,62,487585,48,2010
4,3,7048,1.0,0,4,8,1979,122033,52.9606,-114.417,1440,8088,1,53,485000,46,2340
3,2,4535,2.0,0,3,9,2007,122053,52.74,-114.375,2670,4666,2,79,478000,18,3040
4,2,3844,1.5,0,5,7,1928,122038,52.9342,-114.542,1480,3844,1,73,449250,97,1480
5,2,9240,1.0,0,4,7,1942,122038,52.9608,-114.53,1200,5250,3,78,435000,83,1840
2,2,1426,2.0,0,3,8,2014,122011,52.7741,-114.203,1590,1426,2,80,419190,11,1590
3,2,6030,1.5,0,4,7,1930,122028,52.9294,-114.537,1410,6300,2,51,418000,95,1410
3,2,989,3.0,0,3,8,2005,122006,52.9156,-114.505,1408,1342,1,64,416286,20,1408
3,2,998,2.5,0,3,8,2010,122012,52.7701,-114.217,1620,1299,3,59,415000,15,1620
3,2,36704,1.0,0,4,8,1978,122012,52.6988,-114.203,2730,36404,1,74,410000,47,1800
3,2,1332,3.0,0,3,8,2005,122028,52.9216,-114.53,1430,1448,2,70,406100,20,1410
2,3,1240,2.0,0,3,8,2006,122016,52.7521,-114.58,1410,1273,3,74,405000,19,1410
2,1,9519,1.0,0,2,7,1948,122014,52.9804,-114.496,1480,9519,2,77,400000,77,2110
2,1,5510,1.0,0,3,7,1955,122016,52.7547,-114.581,1630,5510,2,79,400000,70,840
3,2,4000,2.0,0,3,7,1954,122054,52.8101,-114.496,1310,4000,3,78,398750,71,2230
5,2,12750,1.0,0,3,8,1968,122018,52.5708,-114.525,1760,25919,2,63,384900,57,3090
4,1,9389,1.0,0,5,7,1960,122038,53.0071,-114.529,1820,8135,1,72,379950,65,1970
3,3,10800,3.0,0,3,8,2008,122022,52.9638,-114.499,1520,1497,1,62,366750,17,1571
5,1,9022,1.5,0,4,7,1962,122033,52.9596,-114.43,1310,7500,3,69,340000,63,1120
2,1,1438,2.0,0,3,7,2001,122054,52.8217,-114.485,1220,1740,1,72,340000,24,1160
2,1,5250,1.5,0,4,6,1949,122038,52.961,-114.531,1450,5250,2,65,329950,76,1140
4,2,6500,2.0,0,3,9,1998,122023,52.5628,-114.363,2590,6137,3,60,328000,27,2370
4,2,5000,2.0,0,3,7,2006,122024,52.5914,-114.225,1980,5000,3,68,309950,19,2310
3,2,7838,2.0,0,3,7,1994,122042,52.6739,-114.38,1810,7915,3,52,309950,31,1880
3,2,10072,1.0,0,3,7,1986,122055,52.9641,-114.166,1130,10087,3,56,300000,39,1050
3,1,6000,1.0,0,4,7,1953,122051,52.7538,-114.477,1170,6464,2,61,287000,72,1450
3,2,15040,1.0,0,4,6,1958,122015,52.7173,-114.289,1510,41416,3,65,249950,67,1550
3,1,9306,1.0,0,3,7,1984,122039,52.5619,-114.457,1860,8458,3,54,245000,41,1920
2,1,8063,1.0,0,4,6,1958,122043,52.6504,-114.514,1200,7500,2,56,232000,67,1200
4,1,9600,1.0,0,3,7,1971,122018,52.5506,-114.587,1240,9592,1,52,220000,54,1240
4,1,5427,1.0,0,3,6,1969,122035,52.5928,-114.277,1150,5304,3,77,219900,56,1120
3,1,306848,1.0,0,3,5,1953,122055,52.9834,-114.102,1800,128066,1,58,210000,72,1340
5,2,10200,1.0,0,3,6,1956,122043,52.6436,-114.523,1940,8625,1,73,210000,69,2050
2,1,7158,1.0,0,5,6,1944,122056,52.7182,-114.515,1090,7158,2,75,206000,81,810
3,1,10125,1.0,0,4,7,1962,122039,52.5375,-114.474,2488,4981,1,55,184000,63,1490
5,4,15175,2.0,0,3,10,1969,122057,52.7609,-114.418,3510,13500,1,65,1870000,56,4510
5,5,10279,2.0,0,3,10,2013,122048,52.8274,-114.392,2490,10279,1,68,1800000,12,4490
4,3,10920,1.5,0,5,9,1950,122004,52.8987,-114.454,3430,11050,3,62,1580000,75,3760
4,2,6906,2.0,0,4,10,1928,122032,52.8724,-114.597,2540,6223,1,61,1230000,97,3490
4,2,8103,1.0,0,3,9,1970,122016,52.7532,-114.573,2120,6360,2,60,1140000,55,3370
3,2,1970,2.0,0,3,9,2008,122013,52.8726,-114.517,1890,3505,3,65,1050000,17,2200
3,2,4047,3.0,0,3,10,2014,122007,52.9097,-114.575,2040,5000,1,65,979000,11,2690
3,3,4082,2.0,0,3,9,1954,122032,52.881,-114.599,2060,5102,1,60,910000,71,3020
4,2,32417,2.0,0,3,9,2000,122045,52.9028,-114.202,3180,32417,2,73,860000,25,3740
4,2,6425,2.0,0,3,8,2008,122005,52.9088,-114.307,3040,7800,2,57,776000,17,3040
4,2,14550,2.0,0,3,10,1987,122019,52.8678,-114.23,3240,14045,3,55,762300,38,3880
4,2,12047,2.0,0,4,9,1988,122027,52.7899,-114.295,3130,15666,1,50,736000,37,2290
4,2,12369,2.0,0,3,10,1998,122015,52.7573,-114.333,3770,12960,2,61,725126,27,3200
4,2,7864,2.0,0,3,9,1999,122019,52.8375,-114.207,2790,7034,3,74,685000,26,3030
2,1,36478,1.0,0,3,6,1951,122027,52.7999,-114.354,2800,11141,3,79,675000,74,930
4,3,8330,2.0,0,3,8,2000,122050,53.0041,-114.569,2220,8330,2,76,655500,25,3380
3,1,7475,1.0,0,3,7,1940,122006,52.9025,-114.462,2320,7475,1,65,650000,85,1630
5,3,36615,2.0,0,4,8,1983,122020,52.8041,-114.24,2540,35910,3,66,650000,42,3480
4,2,5000,1.0,0,3,7,1949,122007,52.9292,-114.569,1280,5000,1,66,612500,76,2060
4,3,10117,1.0,0,5,8,1967,122027,52.7994,-114.322,2530,10125,2,78,610000,58,2450
4,2,37981,2.0,0,3,9,1985,122005,52.9527,-114.288,2450,37981,2,69,609000,40,2150
4,2,13850,2.0,0,3,9,1987,122012,52.7797,-114.267,2520,10194,2,50,606000,38,2110
4,2,29930,2.0,0,4,8,1977,122027,52.7989,-114.316,2770,29930,3,58,599000,48,2260
4,3,8327,2.0,0,3,10,2013,122042,52.6895,-114.398,2550,5251,1,69,580000,12,3569
3,1,6500,1.0,0,3,8,1954,122032,52.8724,-114.576,2020,5000,3,58,575000,71,2130
4,3,15480,2.0,0,3,8,1996,122058,52.9766,-114.431,2000,42500,2,67,563000,29,3100
5,2,8111,2.0,0,3,8,1984,122005,52.9457,-114.293,2020,8304,3,72,562000,41,3040
3,2,5500,2.0,0,3,7,1916,122016,52.7752,-114.583,1840,7000,2,62,561000,109,2000
3,2,10109,2.0,0,3,8,1991,122033,52.9463,-114.419,1780,9660,3,56,535000,34,1850
5,2,3780,1.5,0,3,7,1926,122028,52.9131,-114.533,1400,3780,1,79,533000,99,1800
5,2,5133,1.0,0,4,7,1964,122029,52.8103,-114.309,2830,10385,3,54,530000,61,2910
3,2,11985,1.0,0,3,9,1995,122019,52.8659,-114.242,2990,12049,3,70,525000,30,2970
3,2,54885,2.0,0,4,8,1980,122015,52.7296,-114.336,2770,21407,1,77,520000,45,2460
3,1,8000,1.0,0,4,7,1956,122030,52.8174,-114.326,1450,8000,2,78,518000,69,1430
3,2,7167,2.0,0,3,8,1989,122019,52.8476,-114.235,1680,7418,3,71,515000,36,1790
4,2,5684,2.0,0,3,8,1996,122058,52.9743,-114.41,2210,7066,3,72,513000,29,2000
3,2,1171,3.0,0,3,8,2006,122047,52.85,-114.49,1480,1231,1,56,500000,19,1480
2,1,2400,1.0,0,4,7,1903,122028,52.8953,-114.523,1570,3919,1,54,499000,122,1170
5,2,5000,1.5,0,4,7,1938,122007,52.9249,-114.56,1510,6600,1,57,488000,87,2020
3,2,4080,1.5,0,3,7,1905,122028,52.9172,-114.539,1420,4590,2,55,485000,120,1420
2,1,6000,1.0,0,3,7,1942,122004,52.8924,-114.481,1660,4000,2,76,484000,83,1660
4,2,45732,2.0,0,3,8,1995,122037,52.97,-114.238,2080,43560,2,70,483500,30,2740
6,3,117612,1.5,0,3,7,1924,122058,52.9963,-114.424,2120,17100,3,65,475000,101,3470
2,1,4400,1.0,0,3,7,1924,122007,52.911,-114.551,1400,4200,2,61,469000,101,1030
3,2,11088,1.0,0,4,8,1967,122014,52.9951,-114.467,1970,10470,3,56,465000,58,1970
2,2,929,2.0,0,3,8,2004,122044,52.8491,-114.491,1270,1370,2,73,460000,21,1230
5,2,7770,1.0,0,3,7,1978,122033,52.9498,-114.361,1820,7770,2,52,455000,47,2240
2,2,3000,1.5,0,3,7,1912,122007,52.9097,-114.552,1390,4000,3,70,450000,113,1100
4,2,7983,1.0,0,5,7,1967,122033,52.9657,-114.383,1520,7783,1,60,425000,58,1520
4,2,23400,1.0,0,3,7,1958,122043,52.625,-114.501,1860,14900,1,71,407000,67,2810
4,1,10720,1.0,0,3,7,1958,122029,52.8374,-114.315,1840,9044,1,64,404000,67,1840
4,2,7680,1.0,0,3,7,1971,122033,52.9545,-114.39,1460,9660,3,66,397000,54,1440
3,1,6500,1.0,0,4,7,1966,122029,52.8524,-114.306,1500,7700,3,51,390000,59,1260
5,3,5000,1.0,0,3,7,2006,122059,52.8001,-114.486,1930,5117,1,72,390000,19,2890
3,1,9568,1.0,0,5,7,1962,122053,52.769,-114.369,1270,9575,2,56,387000,63,1230
3,1,5520,1.0,0,3,7,1982,122051,52.7849,-114.482,1330,5196,3,50,385000,43,1900
4,1,11600,1.0,0,4,7,1955,122058,52.9673,-114.431,1740,11600,2,65,379900,70,1500
3,2,1320,3.0,0,3,8,2006,122028,52.9237,-114.532,1370,1320,2,59,369950,19,1270
3,1,9647,1.0,0,3,8,1961,122050,52.9908,-114.551,2090,9272,2,78,367500,64,1410
3,1,8160,1.0,0,3,7,1950,122038,52.9591,-114.529,1090,7560,1,69,365000,75,1310
3,2,14374,1.0,0,4,7,1963,122060,52.6776,-114.522,2020,10500,2,70,362000,62,1640
4,2,18768,1.0,0,5,8,1965,122039,52.5482,-114.469,1230,15750,1,54,360000,60,2680
3,1,7740,1.0,0,4,6,1947,122022,52.9398,-114.481,1130,7740,2,64,353000,78,1350
4,2,3826,2.0,0,3,8,2007,122046,52.6744,-114.372,2441,3826,2,65,345000,18,2331
3,1,6250,1.0,0,3,7,1956,122006,52.9277,-114.482,2010,6944,3,61,345000,69,1110
2,1,6687,1.0,0,3,6,1942,122007,52.9301,-114.552,840,6687,2,53,329350,83,720
4,2,12040,1.0,0,3,7,1980,122034,52.781,-114.546,1590,6954,1,78,325000,45,1890
3,1,6083,1.0,0,4,6,1940,122006,52.9266,-114.514,1510,5712,2,73,313950,85,1510
4,2,7054,1.0,0,3,7,1950,122052,52.7371,-114.559,1560,7100,1,64,312000,75,1300
3,2,8000,1.0,0,4,9,1974,122018,52.5449,-114.568,2360,8000,3,51,295000,51,1980
4,2,5390,2.0,0,3,7,2003,122035,52.6032,-114.319,2330,5390,3,73,284000,22,2000
3,1,11800,1.0,0,4,7,1971,122025,52.7163,-113.92,2090,57428,2,75,280000,54,1630
3,1,8151,1.0,0,4,7,1962,122043,52.5972,-114.502,1650,8151,3,79,279900,63,1580
3,2,13816,2.0,0,3,7,1998,122041,52.8853,-114.102,1650,15144,1,61,272000,27,1650
3,1,6874,1.0,0,3,6,1954,122038,52.992,-114.545,1500,8954,3,53,250000,71,1050
3,1,8366,1.0,0,4,7,1975,122035,52.605,-114.33,1490,7469,1,74,234000,50,1490
2,1,5160,1.0,0,3,6,1952,122034,52.755,-114.546,900,5160,2,68,219000,73,900
3,1,7684,1.0,0,3,8,1979,122018,52.5275,-114.56,1940,7630,2,55,218000,46,1850
3,1,7735,1.0,0,4,7,1976,122039,52.5624,-114.47,1580,7503,2,52,197000,49,1690
3,1,8850,1.0,0,4,6,1959,122018,52.5566,-114.538,820,8775,2,50,191000,66,800
3,1,7034,1.0,0,3,7,1954,122042,52.72,-114.41,1440,10994,1,50,175000,71,1010
3,1,8580,1.0,0,3,6,1962,122018,52.5376,-114.552,1200,8580,1,71,136500,63,1420
2,1,16344,1.0,0,1,5,1942,122056,52.7039,-114.47,1700,10387,2,51,78000,83,780
7,4,8856,2.5,0,5,11,1910,122061,52.8607,-114.544,2940,5400,1,64,3200000,115,6210
5,4,8076,2.0,0,3,11,2007,122010,52.929,-114.396,4100,10631,2,72,1530000,18,4270
6,2,6480,2.5,0,4,11,1914,122047,52.857,-114.494,2780,6480,2,66,1500000,111,3560
3,3,5500,2.0,0,3,10,1937,122032,52.8656,-114.592,2960,5876,3,80,1340000,88,2960
4,4,103382,2.0,0,3,11,2001,122045,52.864,-114.187,3470,88519,3,77,1150000,24,4460
4,1,13300,1.0,0,3,7,1950,122048,52.8532,-114.4,2840,12744,2,61,1110000,75,2310
4,3,8391,2.0,0,3,10,2006,122010,52.9279,-114.395,3820,12268,2,73,1040000,19,3900
4,2,5940,1.0,0,3,9,1963,122047,52.8616,-114.493,2430,5940,1,62,940000,62,1890
5,3,226076,2.0,0,3,9,1985,122037,52.945,-114.255,4130,55321,3,55,900000,40,4130
4,2,8556,1.0,0,4,8,1954,122032,52.8798,-114.586,2190,7975,1,65,794154,71,2210
3,2,7200,1.5,0,4,8,1905,122054,52.8272,-114.482,2040,5900,2,72,775000,120,2540
4,2,9549,1.0,0,4,7,1956,122010,52.8803,-114.387,2090,9549,2,63,758000,69,2410
3,2,23790,1.0,0,4,7,1946,122003,52.8752,-114.563,1800,5036,2,80,750000,79,2520
4,2,6050,2.0,0,5,8,1949,122009,52.7956,-114.59,1990,6050,2,78,749950,76,2600
4,2,4316,1.5,0,3,8,1905,122009,52.8166,-114.579,1690,5625,3,53,705000,120,2650
3,2,6428,1.0,0,4,7,1942,122032,52.8688,-114.587,1760,6004,3,74,690000,83,1760
3,1,10500,1.0,0,4,8,1959,122049,52.8398,-114.359,2250,10400,2,70,675000,66,1680
4,4,18804,2.0,0,3,10,1990,122019,52.8493,-114.204,3200,15954,2,79,675000,35,3680
3,2,108366,2.0,0,4,10,1991,122035,52.557,-114.284,2090,108366,2,71,651000,34,3240
3,3,5175,2.0,0,3,9,2002,122053,52.746,-114.393,2850,5661,1,62,640000,23,2270
3,2,327135,2.0,0,3,8,1995,122062,52.6083,-114.193,2020,60080,1,55,630000,30,2680
2,2,5663,1.0,0,3,10,2011,122053,52.7604,-114.392,2560,3828,3,80,630000,14,2550
3,2,6500,2.0,0,3,8,1988,122012,52.7954,-114.282,2030,8485,1,66,618080,37,2030
3,3,1570,3.0,0,3,8,2014,122028,52.8872,-114.536,1640,4800,3,62,610950,11,1680
3,2,108900,1.0,0,4,9,1977,122012,52.7124,-114.19,2870,102366,1,55,600000,48,2460
9,4,6988,2.5,0,3,7,1938,122028,52.9227,-114.528,1460,6291,1,62,599999,87,3830
3,1,4788,1.0,0,4,7,1920,122006,52.9046,-114.502,1960,3960,2,66,599000,105,1960
